,System,Night,Tmid,Tmid_err,Obs_start,Obs_end,Trans_start,Trans_end,Sunalt_start,Sunalt_mid,Sunalt_end,Airm_start,Airm_mid,Airm_end,Moon_dist,V_bary,GoodCond,GoodCond_before,GoodCond_after,GoodCond_2
5981,WASP-96 b,2022-08-31,2459823.7537320815,0.0028178066807359233,2459823.682348598,2459823.825115602,2459823.7031819313,2459823.8042822685,-72.86,-64.33,-42.88,1.16,1.08,1.16,112.28,-0.7,True,3.5719987638294697,2.3172261267900467,True
5982,WASP-96 b,2022-09-24,2459847.730958104,0.0028366593309736717,2459847.659572551,2459847.802343692,2459847.6804058845,2459847.7815103587,-62.23,-60.8,-43.38,1.1,1.11,1.3,138.43,-9.39,True,4.420628786087036,2.4436093233525753,True
5983,WASP-96 b,2022-10-01,2459854.5817176527,0.0028420459179964,2459854.510331609,2459854.653103728,2459854.5311649423,2459854.6322703944,-21.53,-43.03,-59.05,1.56,1.2,1.09,73.57,-11.44,True,0.7864021584391594,5.6307584792375565,True
5984,WASP-96 b,2022-10-18,2459871.7088270662,0.002855512607221337,2459871.6374397767,2459871.780214386,2459871.65827311,2459871.7593810526,-51.37,-54.39,-42.04,1.09,1.2,1.55,136.23,-16.68,True,3.6762994788587093,1.4660857357084751,True
5985,WASP-96 b,2023-08-12,2460169.705187541,0.0030898795381050052,2460169.6338057625,2460169.77656935,2460169.654639096,2460169.7557360167,-65.54,-79.87,-62.22,1.69,1.25,1.1,120.35,6.48,True,1.1460223272442818,3.7453215457499027,True
5986,WASP-96 b,2023-08-29,2460186.831303972,0.0031033513513619433,2460186.7599206516,2460186.9026873247,2460186.780753985,2460186.881853991,-63.32,-41.41,-18.14,1.08,1.16,1.45,39.69,-0.01,True,5.286796599626541,0.4904595986008644,True
5987,WASP-96 b,2023-09-05,2460193.6818504655,0.003108740145139185,2460193.6104666004,2460193.7532343655,2460193.631299934,2460193.732401032,-55.55,-71.22,-62.98,1.38,1.13,1.09,90.01,-2.29,True,2.158612232655287,3.965168047696352,True
5988,WASP-96 b,2023-09-22,2460210.808466791,0.003122212298995698,2460210.7370813866,2460210.8798522237,2460210.75791472,2460210.85901889,-60.56,-42.25,-19.93,1.11,1.3,1.83,65.69,-8.76,True,6.296244464814663,0.6250126473605633,True
5989,WASP-96 b,2023-09-29,2460217.6592094,0.0031276012277782475,2460217.5878235037,2460217.7305953326,2460217.608656837,2460217.709761999,-45.12,-60.6,-59.03,1.2,1.09,1.13,54.97,-10.83,True,2.663733657449484,3.9178914092481136,True
5990,WASP-96 b,2023-10-23,2460241.6371873287,0.003146462777469328,2460241.565799794,2460241.708574897,2460241.5866331276,2460241.6877415637,-34.44,-49.87,-52.72,1.11,1.09,1.24,39.49,-17.71,True,1.9022495448589325,2.8736520633101463,True
5991,WASP-96 b,2023-11-16,2460265.615599351,0.0031653247858632137,2460265.5442108703,2460265.68698786,2460265.565044204,2460265.6661545266,-23.94,-39.92,-46.4,1.08,1.16,1.45,62.39,-21.68,True,1.0491874627768993,1.81901116669178,True
5992,WASP-96 b,2024-06-22,2460484.8314187056,0.0033377973635318244,2460484.7600400886,2460484.902797349,2460484.780873422,2460484.8819640153,-69.65,-46.41,-23.62,1.8,1.29,1.11,57.23,19.76,True,0.8832551166415215,0.9040337428450584,True
5993,WASP-96 b,2024-07-16,2460508.8068587366,0.0033566635950002493,2460508.7354788953,2460508.87823861,2460508.7563122287,2460508.8574052765,-77.98,-54.77,-31.58,1.45,1.16,1.08,90.39,14.61,True,1.8665162734687328,1.4971052594482899,True
5994,WASP-96 b,2024-08-09,2460532.78280604,0.0033755302042790254,2460532.7114244136,2460532.8541877014,2460532.732257747,2460532.833354368,-79.95,-60.61,-37.4,1.25,1.1,1.11,120.34,7.11,True,2.861938498914242,1.9070059284567833,True
5995,WASP-96 b,2024-09-02,2460556.759405457,0.003394397185068359,2460556.6880217525,2460556.8307891977,2460556.708855086,2460556.809955864,-72.42,-62.07,-40.49,1.13,1.09,1.19,138.94,-1.63,True,3.8730044290423393,2.140740305185318,True
5996,WASP-96 b,2024-09-09,2460563.6099914894,0.003399787818379259,2460563.5386072313,2460563.6813757773,2460563.559440565,2460563.660542444,-32.69,-54.66,-69.52,1.87,1.31,1.11,88.97,-3.93,True,0.7457687817513943,5.608880426734686,True
5997,WASP-96 b,2024-09-26,2460580.7367023285,0.003413264531207624,2460580.6653165733,2460580.8080881173,2460580.686149907,2460580.787254784,-62.07,-58.83,-40.97,1.09,1.13,1.36,131.51,-10.24,True,4.5403607077896595,2.204996030777693,True
5998,WASP-97 b,2021-10-11,2459499.6517471354,0.0014879277536224667,2459499.5771117555,2459499.7263825457,2459499.597945089,2459499.705549212,-39.82,-55.53,-54.94,1.44,1.21,1.17,77.86,-8.27,True,2.223235633224249,3.946516815572977,True
5999,WASP-97 b,2021-10-13,2459501.724566528,0.0014889204142599429,2459501.6499310043,2459501.7992020836,2459501.6707643378,2459501.77836875,-54.64,-54.46,-38.54,1.2,1.17,1.31,63.07,-8.86,True,4.026388473808765,2.162777155637741,True
6000,WASP-97 b,2021-11-07,2459526.5986262597,0.0015008331019803634,2459526.523989591,2459526.6732629584,2459526.5448229243,2459526.652429625,-20.03,-38.76,-48.48,1.35,1.18,1.19,80.84,-13.45,True,0.6919829808175564,4.313233394175768,True
6001,WASP-97 b,2021-11-09,2459528.6714806426,0.0015018258887101392,2459528.5968438736,2459528.7461174405,2459528.617677207,2459528.725284107,-37.91,-47.84,-42.96,1.18,1.19,1.39,64.87,-13.86,True,2.4110437743365765,2.4336649999022484,True
6002,WASP-97 b,2021-11-11,2459530.7443369823,0.0015028186850049475,2459530.6697001182,2459530.8189738677,2459530.6905334517,2459530.798140534,-47.22,-42.78,-26.77,1.2,1.41,1.96,55.04,-14.23,True,4.129697967320681,0.5540499351918697,True
6003,WASP-97 b,2021-12-06,2459555.6187167177,0.0015147329797690415,2459555.544079432,2459555.693354029,2459555.5649127653,2459555.6725206957,-20.4,-36.51,-42.72,1.17,1.23,1.49,67.81,-15.93,True,0.7404262237250805,1.9306658618152142,True
6004,WASP-97 b,2022-07-28,2459789.8384281793,0.0016269877073905627,2459789.763797404,2459789.913058983,2459789.7846307373,2459789.8922256497,-68.19,-43.86,-19.68,1.54,1.24,1.17,120.21,10.22,True,1.77303995937109,0.6035494767129421,True
6005,WASP-97 b,2022-08-24,2459816.783662942,0.0016399085340347492,2459816.7090306343,2459816.85829528,2459816.7298639677,2459816.8374619465,-75.53,-57.54,-33.62,1.43,1.21,1.17,118.8,4.07,True,2.2279585003852844,1.6265750080347061,True
6006,WASP-97 b,2022-09-18,2459841.656721009,0.0016518365536577764,2459841.5820870968,2459841.7313549467,2459841.6029204302,2459841.7105216132,-45.28,-63.71,-63.03,1.86,1.37,1.19,105.14,-2.37,True,0.8195738084614277,4.258052688091993,True
6007,WASP-97 b,2022-09-20,2459843.729500317,0.0016528306023304384,2459843.654866247,2459843.804134419,2459843.6756995805,2459843.7833010857,-62.8,-62.58,-44.05,1.35,1.18,1.19,117.17,-3.02,True,2.697334226220846,2.4746879674494267,True
6008,WASP-97 b,2022-09-22,2459845.8022834235,0.001653824658178732,2459845.7276491895,2459845.876917688,2459845.748482523,2459845.8560843547,-62.11,-44.0,-20.8,1.18,1.19,1.39,124.79,-3.68,True,4.575185660272837,0.6909666135907173,True
