pl_name,pl_bmassj,pl_eqt,pl_imppar,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_projobliq,pl_radj,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ra,dec,sy_hmag,sy_jmag,sy_kmag,sy_vmag,st_logg,st_mass,st_met,st_rad,st_radv,st_teff,st_vsin
"Kepler-600 b",0.02750,5.28000000000e+02,0.8580,0.000000,88.060,,23.67517607,0.00005668,-0.00005668,0.153600,,0.259,0.101970,4.6120000,2455012.276040,0.001840,-0.001840,283.8330588,41.9786358,12.9600000,13.3870000,12.8120000,14.8460000,4.56,0.84,-0.090,0.81,,5279.00,
"Kepler-609 b",0.03520,9.32000000000e+02,0.9070,0.000000,88.140,,6.52121067,0.00000864,-0.00000864,0.068200,,0.299,0.076040,2.8091000,2455008.710830,0.001090,-0.001090,292.2203009,44.6999902,13.3530000,13.6510000,13.2810000,14.9600000,4.36,1.09,0.060,1.14,,5971.00,
"Kepler-467 b",0.01790,7.12000000000e+02,0.7620,0.000000,88.370,,24.99324193,0.00006498,-0.00006498,0.165100,,0.201,0.026960,5.9083000,2454971.682380,0.002120,-0.002120,287.3629145,38.6497341,10.9610000,11.2740000,10.8970000,12.4280000,4.18,1.05,0.060,1.37,,5809.00,
"Kepler-471 b",117.00000,1.30800000000e+03,0.0124,0.000000,89.580,,5.01423457,0.00000059,-0.00000059,0.062600,,1.335,0.678860,4.6115300,2454966.174258,0.000097,-0.000097,299.0975167,43.4975851,12.5830000,12.8040000,12.5620000,13.7670000,4.10,1.49,0.070,1.80,,6733.00,
"Kepler-578 b",0.01470,1.77400000000e+03,0.7883,0.000000,78.600,,1.61688370,0.00000123,-0.00000123,0.026600,,0.178,0.045990,1.5845000,2455002.803484,0.000615,-0.000615,288.7549882,39.5636960,12.6530000,13.0870000,12.5610000,14.5780000,4.54,0.87,-0.030,0.83,,5334.00,
"Kepler-579 b",0.01470,7.30000000000e+02,0.2078,0.000000,87.590,,9.66857723,0.00001920,-0.00001920,0.085400,,0.178,0.041170,2.3709000,2455007.534750,0.001650,-0.001650,295.0020771,39.9528613,12.6240000,12.9930000,12.5480000,14.5520000,4.47,0.99,0.130,0.96,,5636.00,
"Kepler-580 b",0.02240,5.58000000000e+02,0.2460,0.000000,89.390,,8.22241966,0.00000979,-0.00000979,0.068300,,0.229,0.146860,2.7045000,2455005.955999,0.000939,-0.000939,283.4997537,40.5528053,12.4410000,13.0900000,12.3140000,15.3080000,4.66,0.67,-0.060,0.64,,4298.00,
"Kepler-630 b",0.03220,3.43000000000e+02,0.8820,0.000000,89.480,,161.47439370,0.00090110,-0.00090110,0.572900,,0.284,0.082820,10.5980000,2455003.603160,0.004060,-0.004060,293.4270647,39.9423967,12.3760000,12.6860000,12.2930000,14.0010000,4.42,1.02,0.030,1.04,,5829.00,
"Kepler-638 b",0.01260,1.11100000000e+03,0.7840,0.000000,85.430,,6.07972888,0.00001513,-0.00001513,0.063200,,0.163,0.028980,7.3431000,2455003.583970,0.001900,-0.001900,284.9194213,41.6172093,11.7650000,12.1810000,11.6830000,13.6580000,4.43,0.88,0.040,0.93,-57.02,5382.00,
"Kepler-662 b",0.01700,5.30000000000e+02,0.8950,0.000000,87.910,,21.67697486,0.00006711,-0.00006711,0.140800,,0.194,0.085720,3.1263000,2455004.537500,0.002450,-0.002450,290.4650801,47.9291252,13.2980000,13.8100000,13.2010000,15.5980000,4.60,0.79,-0.030,0.74,,4897.00,
"Kepler-665 b",0.02290,5.93000000000e+02,0.1874,0.000000,88.140,,16.01310205,0.00004308,-0.00004308,0.114800,,0.232,0.126320,3.0654000,2455009.359630,0.002120,-0.002120,297.0255947,48.4785669,13.3230000,13.8550000,13.2140000,15.6120000,4.60,0.79,-0.030,0.74,,4913.00,
"Kepler-62 d",0.04400,5.10000000000e+02,0.2200,0.000000,89.700,,18.16406000,0.00002000,-0.00002000,0.120000,,0.174,0.092000,2.9700000,2455013.811700,0.000800,-0.000800,283.2125621,45.3496992,11.7390000,12.2560000,11.6590000,13.9650000,4.68,0.69,-0.370,0.64,,4925.00,0.4000
"Kepler-619 b",0.03190,1.07300000000e+03,0.7600,0.000000,89.200,,5.40427220,0.00000555,-0.00000555,0.061100,,0.282,0.077030,2.4748000,2455005.185543,0.000801,-0.000801,290.8490899,48.4159782,13.2630000,13.5790000,13.2910000,14.8400000,4.38,1.09,0.050,1.11,,5980.00,
"Kepler-644 b",0.03170,1.65500000000e+03,0.6290,0.000000,78.650,,3.17391710,0.00000423,-0.00000423,0.046600,,0.281,0.030300,3.5066000,2455003.924350,0.001040,-0.001040,295.4757022,43.4931119,12.7250000,12.9210000,12.5740000,14.0310000,4.09,1.49,0.080,1.81,,6747.00,
"Kepler-677 b",0.07860,1.01500000000e+03,0.3000,0.000000,88.030,,6.57531678,0.00000369,-0.00000369,0.067000,,0.480,0.279330,4.2837000,2455006.634296,0.000446,-0.000446,290.0980478,50.3215731,13.7930000,14.0710000,13.6860000,15.5040000,4.45,1.00,0.060,0.99,,5723.00,
"Kepler-588 b",0.02330,1.17600000000e+03,0.7200,0.000000,82.120,,4.22162536,0.00000475,-0.00000475,0.052000,,0.235,0.065800,2.8959000,2455006.699875,0.000902,-0.000902,284.2572531,47.6889081,13.2770000,13.5800000,13.1870000,14.8000000,4.44,1.01,0.000,1.00,,5835.00,
"Kepler-687 b",0.03830,5.18000000000e+02,0.7900,0.000000,89.620,,20.50586978,0.00002828,-0.00002828,0.132600,,0.314,0.210550,4.0602000,2455014.434740,0.001100,-0.001100,289.3154576,39.1532911,13.2510000,13.8420000,13.2160000,15.6950000,4.60,0.77,-0.040,0.73,,4841.00,
"Kepler-688 b",0.21600,1.00500000000e+03,0.5410,0.000000,87.560,,3.89593684,0.00000080,-0.00000080,0.046000,,0.871,0.854480,2.3389000,2455003.527525,0.000163,-0.000163,294.6552312,39.3083446,13.9690000,14.3640000,13.9240000,15.8050000,4.47,0.98,0.020,0.96,,5715.00,
"Kepler-504 b",0.00993,3.74000000000e+02,0.0309,0.000000,89.920,,9.54927542,0.00000499,-0.00000499,0.064600,,0.142,0.182690,1.7722000,2455008.757209,0.000416,-0.000416,284.9219608,45.9723265,11.3740000,12.0000000,11.1550000,15.1430000,4.94,0.33,-0.310,0.33,,3519.00,
"Kepler-312 b",0.00696,1.68500000000e+03,0.3600,0.000000,89.940,,1.77241900,0.00001200,-0.00001200,0.031000,,0.115,0.007920,2.4530000,2454965.087780,0.003810,-0.003810,298.3957687,42.4597712,11.6640000,11.9020000,11.5960000,13.0100000,4.19,1.20,0.121,1.47,,6115.00,
"Kepler-314 c",0.02750,8.90000000000e+02,0.7500,0.000000,85.570,,5.96039200,0.00000500,-0.00000500,0.064000,,0.259,0.082390,2.7650000,2454970.264850,0.000510,-0.000510,294.6741507,42.0756037,10.8500000,11.2420000,10.7780000,12.6400000,4.46,1.02,0.322,0.95,-21.98,5378.00,
"Kepler-315 b",0.04300,4.09000000000e+02,0.7400,0.000000,88.260,,96.10114100,0.00091800,-0.00091800,0.402000,,0.336,0.098230,8.3600000,2455020.732320,0.005180,-0.005180,298.0230967,43.3634761,13.6220000,13.9820000,13.5810000,15.5460000,4.38,0.98,-0.280,1.04,,5796.00,
"Kepler-316 b",0.00377,8.37000000000e+02,0.1400,0.000000,87.630,,2.24050800,0.00000600,-0.00000600,0.027000,,0.095,0.043630,1.3900000,2454970.821560,0.001640,-0.001640,290.8258350,44.1838993,12.6810000,13.3240000,12.5420000,15.8100000,4.74,0.59,-0.230,0.52,,4204.00,
"Kepler-320 c",0.00771,1.00200000000e+03,0.2200,0.000000,80.930,,17.93493700,0.00028100,-0.00028100,0.142000,,0.122,0.014270,5.2600000,2454971.218200,0.008010,-0.008010,293.2135155,46.1751457,12.2830000,12.5460000,12.3070000,13.4940000,4.42,1.33,-0.123,1.11,,6435.00,
"LSPM J2116+0234 b",0.04185,,,0.183000,,,14.43990000,0.00780000,-0.00870000,0.087600,,0.331,,,2457573.600000,1.100000,-1.100000,319.1147513,2.5807711,7.6010000,8.2190000,7.3240000,11.9610000,4.95,0.43,-0.050,0.43,,3475.00,2.0000
"Kepler-399 b",0.00264,7.73000000000e+02,0.2100,0.000000,89.980,,14.42528100,0.00014400,-0.00014400,0.103000,,0.086,0.021890,3.6860000,2454969.751980,0.006060,-0.006060,299.5017242,40.6707669,12.7790000,13.1750000,12.6980000,14.6860000,4.62,0.90,0.140,0.68,,5502.00,
"Kepler-402 b",0.00624,1.31100000000e+03,0.0600,0.000000,88.850,,4.02875100,0.00001900,-0.00001900,0.051000,,0.109,0.010070,2.9850000,2454966.769020,0.003100,-0.003100,288.3701976,43.3546109,12.0820000,12.3030000,11.9930000,13.2700000,4.28,1.15,-0.080,1.26,4.34,6090.00,
"Kepler-402 d",0.00780,1.00600000000e+03,0.1100,0.000000,89.600,,8.92109900,0.00005600,-0.00005600,0.087000,,0.123,0.010570,3.8380000,2454970.490950,0.004230,-0.004230,288.3701976,43.3546109,12.0820000,12.3030000,11.9930000,13.2700000,4.28,1.15,-0.080,1.26,4.34,6090.00,
"Kepler-402 e",0.00859,9.31000000000e+02,0.2100,0.000000,88.300,,11.24286100,0.00005900,-0.00005900,0.102000,,0.130,0.014170,4.1940000,2454969.316550,0.003550,-0.003550,288.3701976,43.3546109,12.0820000,12.3030000,11.9930000,13.2700000,4.28,1.15,-0.080,1.26,4.34,6090.00,
"Kepler-406 b",0.02000,1.30200000000e+03,0.1000,0.000000,82.340,,2.42629000,,,0.035900,,0.128,0.018540,2.6339000,2455003.456800,,,291.8481764,44.9682807,11.0350000,11.3400000,10.9700000,12.6030000,4.41,1.07,0.180,1.07,-57.13,5538.00,0.4000
"Kepler-407 c",12.60000,,,,,,3000.00000000,500.00000000,-500.00000000,,,1.100,,,,,,286.0363025,49.6145027,10.9830000,11.3320000,10.9110000,12.6030000,4.43,1.00,0.330,1.01,-24.13,5476.00,2.0000
"Kepler-473 b",0.04920,8.79000000000e+02,0.0700,0.000000,89.860,,14.55731705,0.00001399,-0.00001399,0.118600,,0.364,0.095690,7.7724000,2454978.094662,0.000763,-0.000763,286.6300796,38.9455907,11.7950000,12.1210000,11.7310000,13.5480000,4.21,1.06,0.120,1.34,,5816.00,
"Kepler-48 c",0.04597,7.36000000000e+02,0.3800,0.000000,89.510,,9.67395000,,,0.084500,,0.242,0.095270,3.2870000,2454958.339250,,,299.1393094,40.9489390,11.2920000,11.7020000,11.2210000,13.1740000,4.49,0.88,0.170,0.89,-10.53,5194.00,0.5000
"Kepler-49 d",0.01000,7.17000000000e+02,0.0600,0.000000,89.140,,2.57654900,0.00000300,-0.00000300,0.031000,,0.143,0.085280,1.5970000,2455005.129320,0.000660,-0.000660,292.2945208,40.5918123,12.4870000,13.1840000,12.3830000,15.6550000,4.73,0.55,0.030,0.56,,4252.00,
"Kepler-539 c",2.40000,2.53000000000e+02,,0.500000,,254.9100,1000.00000000,,,2.420000,,1.180,,,,,,299.1224639,41.8667953,10.9640000,11.2940000,10.9150000,12.4440000,4.50,1.05,-0.010,0.95,9.96,5820.00,4.4000
"Kepler-5 b",2.11100,1.75000000000e+03,0.0968,0.000000,89.140,,3.54846570,0.00000070,-0.00000070,0.053800,,1.426,0.725150,4.5690400,2454955.901440,0.000020,-0.000020,299.4070341,44.0350387,11.8630000,12.1150000,11.7690000,13.3250000,3.96,1.37,0.040,1.79,-46.70,6297.00,4.8000
"Kepler-425 b",0.25000,1.07000000000e+03,0.6020,0.330000,87.020,,3.79701816,0.00000019,-0.00000019,0.046400,,0.978,1.443120,2.3530000,2454966.508785,0.000039,-0.000039,290.3579781,40.5676965,12.9310000,13.3760000,12.8060000,14.8450000,4.54,0.93,0.240,0.86,-45.40,5170.00,3.0000
"Kepler-428 b",1.27000,1.07000000000e+03,0.1300,0.220000,89.360,,3.52563254,0.00000015,-0.00000015,0.043300,,1.080,2.233500,2.6140000,2455003.048008,0.000032,-0.000032,290.5817432,40.5773106,13.2950000,13.7670000,13.2340000,15.3620000,4.57,0.87,0.090,0.80,-21.30,5150.00,2.0000
"Kepler-529 c",0.01470,8.91000000000e+02,0.9020,0.000000,83.970,,12.83450220,0.00003659,-0.00003659,0.107500,,0.178,0.028100,3.2666000,2454971.324780,0.002400,-0.002400,285.8884067,47.8803640,12.4660000,12.7860000,12.4180000,13.7790000,4.35,1.07,-0.100,1.14,,6087.00,
"Kepler-53 c",0.11327,5.50000000000e+02,0.8330,0.000000,87.910,,38.55830380,0.00041000,-0.00041000,0.225500,,0.283,0.099300,5.0162000,2454996.848160,0.003800,-0.003800,290.4617926,40.5624966,13.9060000,14.2520000,13.8070000,15.3670000,4.53,0.98,0.160,0.89,,5858.00,
"Kepler-500 b",0.02260,9.09000000000e+02,0.7200,0.000000,89.990,,8.50832440,0.00000911,-0.00000911,0.080600,,0.230,0.065210,3.5033000,2454967.786614,0.000908,-0.000908,295.9513472,43.8519884,12.6930000,12.9950000,12.5880000,14.3240000,4.42,1.02,0.030,1.03,,5813.00,
"Kepler-509 b",0.02130,5.84000000000e+02,0.0211,0.000000,89.960,,41.74600392,0.00004444,-0.00004444,0.238400,,0.222,0.042180,4.6058000,2455043.399304,0.000834,-0.000834,289.6643940,48.7061650,10.5640000,10.7930000,10.4830000,11.8480000,4.32,1.10,0.010,1.20,-19.51,6060.00,
"Kepler-514 b",0.01130,1.24800000000e+03,0.8150,0.000000,81.850,,5.65179605,0.00001087,-0.00001087,0.067600,,0.153,0.013700,2.9289000,2455005.278930,0.001440,-0.001440,286.2471739,50.2423694,10.9060000,11.2020000,10.8750000,12.2730000,4.23,1.28,0.360,1.44,-14.74,6106.00,
"Kepler-519 b",0.01590,5.32000000000e+02,0.0881,0.000000,89.630,,24.30789460,0.00002446,-0.00002446,0.159400,,0.187,0.069560,2.5981000,2455011.364426,0.000866,-0.000866,299.3196708,41.3847447,10.7930000,11.2580000,10.7610000,12.7700000,4.58,0.89,0.010,0.80,-20.72,5260.00,
"Kepler-53 b",0.34925,7.01000000000e+02,0.7600,0.000000,89.860,,18.64895250,0.00016000,-0.00016000,0.139000,,0.258,0.089360,4.4815000,2455007.776080,0.002900,-0.002900,290.4617926,40.5624966,13.9060000,14.2520000,13.8070000,15.3670000,4.53,0.98,0.160,0.89,,5858.00,
"Kepler-53 d",0.01620,8.70000000000e+02,0.8100,0.000000,80.970,,9.75196200,0.00007700,-0.00007700,0.091000,,0.189,0.041800,4.1900000,2454971.785200,0.004300,-0.004300,290.4617926,40.5624966,13.9060000,14.2520000,13.8070000,15.3670000,4.50,0.98,0.160,0.96,,6085.00,
"MOA-2007-BLG-192L b",0.01000,,,,,,,,,0.620000,,0.146,,,,,,272.0158250,-27.1500750,,19.8400000,,,,0.06,,,,,
"LTT 9779 b",0.09225,1.97800000000e+03,,0.000000,76.390,90.0000,0.79205200,0.00000930,-0.00000930,0.016790,,0.421,0.157052,0.6710880,2458354.214300,0.000250,-0.000250,358.6688767,-37.6282237,8.1530000,8.4460000,8.0160000,9.7900000,4.35,0.77,0.270,0.95,-10.63,5443.00,1.0600
"MOA-2008-BLG-379L b",4.10000,,,,,,,,,2.700000,,1.160,,,,,,269.7060000,-30.1969306,,,,,,0.56,,,,,
"Kepler-982 b",0.01790,9.55000000000e+02,0.8950,0.000000,89.920,,15.77382210,0.00004115,-0.00004115,0.129100,,0.201,0.031270,4.9443000,2454970.530850,0.002100,-0.002100,288.4176803,46.5904531,11.9570000,12.2030000,11.8950000,13.0990000,4.28,1.16,0.050,1.29,,6139.00,
"Kepler-984 b",0.01620,4.84000000000e+02,0.2622,0.000000,88.070,,43.03422720,0.00014790,-0.00014790,0.232700,,0.189,0.050900,6.0726000,2454970.690210,0.002580,-0.002580,296.9588566,46.3940661,11.9140000,12.2470000,11.8300000,13.5990000,4.49,0.96,0.040,0.93,,5610.00,
"Kepler-990 b",0.02290,9.03000000000e+02,0.7860,0.000000,87.060,,9.91723428,0.00002468,-0.00002468,0.088300,,0.232,0.045790,3.2597000,2454968.139490,0.001960,-0.001960,297.9381813,46.8813194,13.0310000,13.3620000,12.9280000,14.7160000,4.39,1.05,0.010,1.08,,5948.00,
"MOA-2010-BLG-073L b",11.00000,,,,,,,,,1.210000,,1.110,,,,,,272.5472580,-26.5229319,,,,,,0.16,,,,,
"MOA-2011-BLG-028L b",0.09000,,,,,,,,,4.140000,,0.535,,,,,,270.8540000,-29.2134167,,,19.0000000,,,0.75,,,,,
"NGTS-12 b",0.20800,1.25700000000e+03,0.2000,0.000000,88.900,,7.53280600,0.00004800,-0.00004800,0.075700,,1.048,,5.8500000,2458572.854900,0.001700,-0.001700,176.2499418,-35.6405630,10.6920000,10.9920000,10.5880000,12.3820000,4.04,1.02,-0.030,1.59,-12.60,5690.00,0.5000
"NGTS-3 A b",2.38000,,0.0500,,89.560,,1.67537280,0.00000300,-0.00000300,0.023000,,1.480,2.680000,2.3000000,2457620.167900,0.000950,-0.000950,94.4447595,-35.7063640,12.9650000,13.2810000,12.8140000,14.6690000,4.45,1.02,0.120,0.93,8.57,5600.00,1.0000
"NGTS-5 b",0.22900,9.52000000000e+02,,0.000000,86.600,,3.35698660,0.00000260,-0.00000260,0.038200,,1.136,,2.2100000,2457740.352620,0.000260,-0.000260,221.0582692,5.6053735,11.7080000,12.1170000,11.6120000,13.7890000,4.52,0.66,0.120,0.74,-5.52,4987.00,
"OGLE-2003-BLG-235L b",2.60000,,,,,,,,,4.300000,,1.180,,,,,,271.3181250,-28.8950000,,,,,,0.63,,,,,
"OGLE-2006-BLG-109L c",0.27000,5.90000000000e+01,,0.150000,64.000,,4927.50000000,3540.50000000,-1752.00000000,4.500000,,0.994,,,,,,268.1437920,-30.0877778,17.1700000,,,,,0.51,,,,,
"Lupus-TR-3 b",0.81000,,,0.000000,88.300,,3.91405000,0.00004000,-0.00004000,0.046400,,0.890,,,2453887.081800,0.001300,-0.001300,232.5774696,-42.9799461,15.8410000,16.2110000,15.0680000,19.6202000,4.96,0.87,,0.82,,5000.00,
"MOA-2011-BLG-262L b",0.05300,,,,,,,,,0.950000,,0.383,,,,,,270.0978330,-31.2452583,21.0700000,,,,,0.11,,,,,
"MOA-2009-BLG-319L b",0.21200,,,,,,,,,2.030000,,0.860,,,,,,271.7422080,-26.8196917,,,19.9800000,,,0.52,,,,,
"MOA-bin-29 b",0.60000,,,,,,,,,0.480000,,1.260,,,,,,269.3759583,-29.7365639,32.3400000,,33.1100000,44.6100000,,0.03,,,,,
"Kepler-95 b",0.04100,9.27000000000e+02,0.7400,0.000000,90.000,,11.52310000,,,0.101700,,0.305,0.050480,3.8853000,2454964.968410,,,284.4824281,44.3978910,10.8670000,11.2100000,10.8010000,12.3820000,4.17,1.08,0.300,1.41,-29.60,5699.00,0.7000
"Kepler-950 b",0.18800,3.60000000000e+02,0.5880,0.000000,89.680,,98.71804060,0.00017480,-0.00017480,0.398200,,0.801,0.732000,6.4184000,2454964.586110,0.001580,-0.001580,287.9565768,41.1302834,14.1650000,14.5090000,14.1390000,16.0000000,4.44,1.02,0.020,1.02,,5857.00,
"OGLE-2005-BLG-169L b",0.04440,,,,,,,,,3.500000,,0.343,,,,,,271.5221670,-30.7326389,18.2000000,,,22.7830000,,0.69,,,,,
"OGLE-2012-BLG-0406L b",2.73000,,,,,,,,,3.450000,,1.180,,,,,,268.3257080,-30.4711667,,,,,,0.44,,,,,
"OGLE-2012-BLG-0950L b",0.11000,,,,,,,,,2.600000,,0.585,,,,,,272.0192570,-29.7315826,,,,,,0.57,,,,,
"OGLE-2016-BLG-0263L b",4.10000,,,,,,,,,5.400000,,1.160,,,,,,269.8954160,-31.8186111,,,,,,0.13,,,,,
"OGLE-2016-BLG-1190L b",13.38000,,,,41.200,,1224.00000000,1896.00000000,-300.00000000,2.170000,,1.100,,,,,,269.7179260,-27.6135559,,,,,,0.88,,,,,
"NGC 2682 YBP 401 b",0.46000,,,0.150000,,330.1700,4.08700000,0.00700000,-0.00700000,,,1.270,,,,,,132.8293081,11.6710271,12.3760000,12.6380000,12.3370000,13.6990000,4.30,1.14,-0.046,1.22,33.18,6165.00,
"OGLE-2017-BLG-0373L b",0.40100,,,,,,,,,2.424000,,1.250,,,,,,269.3294067,-31.9517231,,,,,,0.25,,,,,
"OGLE-2018-BLG-0677L b",0.01250,,,,,,,,,0.630000,,0.162,,,,,,268.7511250,-32.0165306,,,,,,0.12,,,,,
"Pr0211 c",7.79000,,,0.710000,,111.0000,4850.00000000,4560.00000000,-1750.00000000,5.500000,,1.120,,,,,,130.5477440,19.2769570,10.2420000,10.6600000,10.1730000,12.1630000,4.51,0.94,0.180,0.83,34.29,5300.00,5.1000
"Kepler-660 b",0.02240,6.49000000000e+02,0.3870,0.000000,88.930,,9.27358194,0.00001178,-0.00001178,0.075900,,0.229,0.128830,3.3004000,2455006.258019,0.000997,-0.000997,288.1382985,47.7245642,13.1200000,13.6720000,13.0330000,15.5590000,4.61,0.75,-0.070,0.71,,4779.00,
"SWEEPS-4 b",3.80000,,,,,,4.20000000,,,0.055000,,0.810,0.500000,,,,,269.7246667,-29.1890556,,,,18.8000000,,1.24,,1.18,,,
"NGTS-4 b",0.06481,1.65000000000e+03,,0.000000,82.500,0.0000,1.33735080,0.00000800,-0.00000800,0.019000,,0.284,,1.8000000,2457607.997500,0.003400,-0.003400,89.5988945,-30.8117992,11.1390000,11.5840000,11.0730000,13.1380000,4.50,0.75,-0.280,0.84,111.20,5143.00,2.7500
"OGLE-2011-BLG-0173L b",0.19000,,,,,,,,,8.000000,,0.804,,,,,,269.3157350,-28.2338619,,,,,,0.41,,,,,
"OGLE-2011-BLG-0251L b",0.53000,,,,,,,,,2.720000,,1.270,,,,,,264.5590830,-27.1361389,,,,,,0.26,,,,,
"OGLE-2018-BLG-0596L b",0.04383,,,,,,,,,0.970000,,0.340,,,,,,269.0555417,-29.1990833,,,,,,0.23,,,,,
"Kepler-969 b",0.01550,4.65000000000e+02,0.7110,0.000000,88.630,,34.17317140,0.00007358,-0.00007358,0.202700,,0.185,0.063090,4.4751000,2454970.791400,0.001680,-0.001680,288.3724989,47.9335642,11.9760000,12.4130000,11.8970000,13.8650000,4.57,0.92,0.220,0.82,,5214.00,
"Kepler-974 b",0.00972,5.77000000000e+02,0.8237,0.000000,85.090,,4.19449651,0.00000503,-0.00000503,0.041900,,0.140,0.074500,1.8482000,2454967.134290,0.001010,-0.001010,285.0131082,40.2209547,11.2790000,11.9510000,11.0560000,15.2950000,4.76,0.52,0.070,0.50,,3687.00,
"Kepler-99 b",0.01900,8.10000000000e+02,0.2100,0.000000,89.050,,4.60358000,,,0.050300,,0.132,0.044980,2.3499000,2455004.838930,,,297.3539994,41.3000452,10.8520000,11.3680000,10.7570000,13.2060000,4.61,0.79,0.180,0.73,-23.00,4782.00,0.5000
"Proxima Cen b",0.00400,2.34000000000e+02,,0.350000,,310.0000,11.18600000,0.00100000,-0.00200000,0.048500,,0.096,,,,,,217.3934657,-62.6761821,4.8350000,5.3570000,4.3840000,11.0100000,5.16,0.12,,0.14,,3050.00,
"TYC 8998-760-1 c",6.00000,1.24000000000e+03,,,,,,,,320.000000,,1.100,,,,,,201.3001096,-64.9391566,8.5620000,9.0720000,8.3920000,11.1240000,4.29,1.00,,0.95,12.84,4573.00,
"OGLE-2017-BLG-0604L b",0.51000,,,,,,,,,4.060000,,1.270,,,,,,267.8916670,-30.9465556,,,,,,0.70,,,,,
"MOA-2011-BLG-293L b",4.80000,,,,,,547.50000000,,,1.100000,,1.150,,,,,,268.9139580,-28.4768472,19.1600000,,,,,0.86,,,,,
"Qatar-4 b",6.10000,1.38500000000e+03,0.3100,0.000000,87.500,,1.80535640,,,0.028030,,1.135,1.902000,2.1384000,2457637.773610,0.000460,-0.000460,4.8592750,44.0275965,11.6310000,12.0300000,11.5190000,13.5740000,4.53,0.90,0.103,0.85,-28.76,5215.00,7.1000
"Qatar-8 b",0.37100,1.45700000000e+03,0.0960,0.000000,89.290,,3.71495000,0.00100000,-0.00100000,0.047400,,1.285,1.029000,4.0272000,2458210.839800,0.000850,-0.000850,157.4123405,70.5270835,10.0050000,10.2960000,9.9370000,11.7100000,4.21,1.03,0.025,1.31,5.57,5738.00,2.7000
"TOI-1235 b",0.01856,7.75000000000e+02,0.2500,0.150000,88.900,,3.44471700,0.00004000,-0.00004200,0.038260,,0.151,0.074112,2.0940000,2458683.615500,0.001700,-0.001500,152.2182549,69.2766204,8.0740000,8.7110000,7.8930000,11.4950000,4.64,0.63,0.330,0.62,-27.75,3997.00,2.0000
"NGTS-9 b",2.90000,1.44800000000e+03,,0.060000,84.100,,4.43527000,0.00002000,-0.00002000,0.058000,,1.070,,2.0500000,2457671.810860,0.002650,-0.002650,141.9206435,-19.3476477,11.4880000,11.7120000,11.4520000,12.8680000,4.37,1.34,0.310,1.38,38.79,6330.00,6.3800
"OGLE-2017-BLG-1522L b",0.75000,,,,,,,,,0.590000,,1.250,,,,,,270.3193660,-28.4619713,,,,,,0.04,,,,,
"TOI-132 b",0.07048,1.39500000000e+03,0.5330,0.059000,85.030,125.8800,2.10970190,0.00001200,-0.00001100,0.026000,,0.305,0.104000,2.6380000,2458333.230950,0.000940,-0.000960,338.3996623,-43.4368720,9.7620000,10.1410000,9.6460000,11.1970000,4.48,0.97,0.160,0.90,-19.90,5397.00,3.0000
"NN Ser d",2.30000,,,0.190000,,-111.0000,2883.50000000,182.50000000,-182.50000000,3.430000,,1.190,,,,,,238.2337015,12.9120871,16.2540000,16.9070000,16.1680000,16.9430000,,0.54,,,,57000.00,
"TOI-1478 b",0.85100,9.18000000000e+02,0.4810,0.024000,88.510,-110.0000,10.18024900,0.00001500,-0.00001500,0.090300,,1.060,1.083000,4.1664000,2458607.903380,0.000520,-0.000490,126.4337428,-13.5595485,9.2550000,9.5900000,9.2010000,10.7230000,4.37,0.95,0.078,1.05,21.16,5597.00,4.3000
"TOI-1601 b",0.99000,1.61900000000e+03,0.1360,0.036000,88.840,-180.0000,5.33175100,0.00001100,-0.00001100,0.068640,,1.239,0.339500,6.3048000,2458990.553020,0.000810,-0.000790,38.3615690,41.0134321,9.2660000,9.5050000,9.1910000,10.6600000,3.94,1.52,0.329,2.19,-7.80,5948.00,6.4000
"WASP-10 b",3.15000,1.37000000000e+03,0.2990,0.047300,88.490,165.6000,3.09276160,0.00001120,-0.00001120,0.037810,,1.080,2.525000,2.2271000,2454664.037295,0.000082,-0.000082,348.9930457,31.4627508,10.1170000,10.6030000,9.9830000,12.4130000,4.63,0.75,0.050,0.70,-11.44,4675.00,3.0000
"Ross 128 b",0.00440,3.01000000000e+02,,0.116000,,,9.86580000,0.00700000,-0.00700000,0.049600,,0.099,,,,,,176.9376036,0.7992898,5.9450000,6.5050000,5.6540000,11.1200000,5.05,0.17,-0.020,0.20,-30.90,3192.00,
"TOI-1728 b",0.08426,7.67000000000e+02,0.3900,0.057000,88.310,45.0000,3.49151000,0.00006200,-0.00005700,0.039100,,0.451,0.552048,1.9600000,2458843.274270,0.000430,-0.000430,120.6116787,64.7971531,8.9530000,9.6420000,8.8030010,12.3900000,4.66,0.65,0.250,0.62,-43.22,3980.00,2.0000
"OGLE-2012-BLG-0563L b",0.39000,,,,,,,,,0.740000,,1.210,,,,,,271.4905000,-27.7120000,,,,,,0.34,,,,,
"TOI-251 b",1.00000,1.04104476300e+03,0.6070,0.000000,87.520,,4.93777000,0.00002800,-0.00002900,0.057410,,0.244,0.089185,2.2320000,2458357.305480,0.001300,-0.001500,353.0620655,-37.2558629,8.4980000,8.7660000,8.4260000,9.8870000,4.56,1.04,-0.106,0.88,-2.06,5875.00,11.5000
