pl_name,pl_bmassj,pl_eqt,pl_imppar,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_projobliq,pl_radj,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ra,dec,sy_hmag,sy_jmag,sy_kmag,sy_vmag,st_logg,st_mass,st_met,st_rad,st_radv,st_teff,st_vsin
"Kepler-1489 b",0.01190,4.00000000000e+02,0.0850,0.000000,89.870,,82.29475100,0.00179900,-0.00179900,0.367900,,0.158,0.037110,7.0090000,2455045.007300,0.018900,-0.018900,281.2957984,44.4654063,13.2860000,13.6770000,13.2470000,14.9830000,4.51,0.93,-0.130,0.90,,5655.00,
"Kepler-1214 b",0.01940,5.91000000000e+02,0.1980,0.000000,89.820,,18.82634264,0.00008784,-0.00008784,0.128000,,0.211,0.079580,2.3330000,2454967.701710,0.003930,-0.003930,285.1427113,49.8006565,13.3840000,13.8320000,13.3510000,15.4590000,4.57,0.85,0.050,0.80,,5130.00,
"Kepler-150 d",0.02580,7.34000000000e+02,0.1200,0.000000,89.950,,12.56093000,0.00003600,-0.00003600,0.104000,,0.249,0.096690,3.7640000,2454999.795880,0.001580,-0.001580,288.2341025,40.5208970,13.4220000,13.8170000,13.3670000,15.1610000,4.47,0.94,-0.020,0.94,,5560.00,
"Kepler-1500 b",0.00588,9.28000000000e+02,0.1488,0.000000,84.020,,15.03301050,0.00016120,-0.00016120,0.123600,,0.107,0.013220,5.4160000,2454964.904210,0.009540,-0.009540,288.8834740,39.7446547,13.1490000,13.4760000,13.0300000,14.7280000,4.44,1.00,-0.050,1.00,,5845.00,
"Kepler-148 c",0.03980,9.57000000000e+02,0.4800,0.000000,89.800,,4.18004300,0.00000400,-0.00000400,0.050000,,0.321,0.188050,2.4820000,2455006.719280,0.000540,-0.000540,289.7861626,46.8588176,13.5270000,13.9030000,13.3590000,15.3980000,4.55,0.86,0.140,0.85,,5272.00,
"Kepler-1530 c",0.01060,1.16700000000e+03,0.0643,0.000000,85.110,,5.32274060,0.00063310,-0.00063310,0.060000,,0.147,0.034240,2.5710000,2454966.220300,0.097600,-0.097600,288.1624396,48.1651530,12.4510000,12.7980000,12.3000000,14.1500000,4.52,0.92,0.030,0.88,,5477.00,
"Kepler-154 e",0.00899,1.14000000000e+03,0.3347,0.000000,87.810,,3.93276465,0.00001225,-0.00001225,0.047000,,0.134,0.023490,2.9166000,2454967.651230,0.002620,-0.002620,289.7805393,49.8965624,13.0890000,13.3890000,12.9860000,14.6460000,4.45,0.98,-0.040,0.98,,5769.00,
"Kepler-1484 b",0.01600,6.24000000000e+02,0.3665,0.000000,86.350,,30.45491360,0.00035360,-0.00035360,0.193900,,0.188,0.047210,6.1430000,2454973.763130,0.008260,-0.008260,292.6842738,38.1262604,13.7650000,14.1350000,13.6460000,15.3510000,4.49,0.94,-0.170,0.92,,5730.00,
"Kepler-1519 b",0.12500,3.42000000000e+02,0.6356,0.000000,89.600,,240.79893970,0.00061170,-0.00061170,0.765500,,0.630,0.502290,16.4420000,2455167.141850,0.001830,-0.001830,296.6679448,49.4617774,13.2570000,13.6420000,13.1890000,15.1240000,4.50,0.94,-0.070,0.91,,5644.00,
"Kepler-1532 b",0.00752,1.68100000000e+03,0.4050,0.000000,88.290,,1.09366356,0.00000216,-0.00000216,0.020600,,0.120,0.021840,1.4839000,2454965.473290,0.001670,-0.001670,296.9027840,41.1981424,13.1840000,13.6600000,13.2300000,15.2930000,4.51,0.91,-0.100,0.88,,5559.00,
